outreach_rank,priority,total_score,company_name,company_domain,company_website,company_linkedin_url,founder_name,founder_first_name,founder_last_name,founder_current_title,founder_linkedin_url,founder_location,company_hq,us_based_status,employee_count,employee_range,estimated_revenue,total_funding,company_status,business_model,b2b_saas_evidence,affordability_evidence,founder_market_authority,founder_content_activity,content_gap,status_quo_need,buying_trigger,personalized_outreach_angle,qualification_reason,disqualification_risks,verification_status,last_verified_date,primary_evidence_url,additional_evidence_urls,research_notes
20,B,83,Taqtile,taqtile.com,https://taqtile.com,https://www.linkedin.com/company/taqtile,Dirck T. Schou Jr.,Dirck,Jr.,CEO & Co-Founder,unverified,"Seattle, WA","Seattle, WA, United States",US-based (High confidence),41 (Jun 2026),11-50,1M-5M (vendor estimate),$21M over 4 rounds,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Manifest platform using augmented reality, spatial computing and 3D visualisation to guide deskless workers through complex tasks more efficiently and safely.",Confirmed: $21M raised across 4 rounds; industrial and defence-adjacent enterprise customers on deployment contracts,"Augmented and mixed reality, spatial computing, deskless workforce enablement, industrial training",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"AR has burned through a decade of hype and industrial deployment is where it quietly works. A founder with real deployments can write the honest version - what AR actually delivers on a factory floor versus what the headsets promised - which is a credibility play available precisely because the category overpromised for so long. The skills-transfer angle as experienced industrial workers retire is a second, urgent thread.",Scout Ventures investment,"AR spent a decade overpromising and Dirck has the deployments to say plainly what it does and does not deliver on an industrial floor. That honest-operator position is unusually valuable in a category this discredited, and the retiring-workforce skills-transfer problem gives it real urgency.","TAM: Confirmed; Artificial intelligence / industry-specific B2B software (spatial computing for deskless work) sold to Industrial enterprises with deskless workforces performing complex maintenance and assembly tasks. Size: 11-50 (confidence High). HQ: Seattle, WA, United States (High). Ability to pay: Confirmed. Buyer: CEO & Co-Founder, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.geekwire.com/2022/taqtile-raises-5m-a-startup-that-sells-ar-enabled-job-training-tech/,https://www.finsmes.com/2024/01/taqtile-receives-investment-from-scout-ventures.html | https://tracxn.com/d/companies/taqtile/__KeaJN1rVYil5_LF-6h374vKdx5amo1Av2PtGFymgMo4 | https://wearable-technologies.com/news/seattle-based-ar-startup-taqtile-raises-3-million-partners-with-magic-leap,"41 employees, down from a reported 55 in 2022, so the company has contracted into the target band rather than grown through it - worth noting but not disqualifying. CEO and co-founder Dirck Schou still leads. Partnerships with Magic Leap and Downer Group give real enterprise proof."
21,B,82,Rali,getrali.com,https://getrali.com,https://www.linkedin.com/company/raliplatform,Rich Cannon,Rich,Cannon,Chief Executive Officer,unverified,"Alpharetta, GA","Alpharetta, GA, United States",US-based (High confidence),49,11-50,1M-5M (vendor estimate),$27.1M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. AI-powered Change Experience Platform combining a change methodology with expert-led journeys on a Learn, Do, Inspire model to drive behavioural change across teams and leadership.",Confirmed: $27.1M raised with 49 employees and enterprise transformation programmes - substantial contract values,"Enterprise change management, learning technology commercialisation",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Most change-management content is consultancy boilerplate. A CEO with delivery data across enterprise transformation programmes could say which change initiatives actually stick and which quietly fail - a specific, uncomfortable and therefore memorable argument.",Partnered with Trevelino/Keller to drive growth through a refreshed website and integrated marketing (2024-11-20),"Change-management content is almost entirely consultancy boilerplate. Rich has delivery data on which transformation programmes actually stick - naming why most quietly fail is the kind of uncomfortable, specific argument that gets read.","TAM: Confirmed; HR technology / productivity software (change and learning) sold to Enterprises running behavioural change, leadership and transformation programmes. Size: 11-50 (confidence High). HQ: Alpharetta, GA, United States (High). Ability to pay: Confirmed. Buyer: Chief Executive Officer, Non-founder CEO.","penalties applied: engaged external marketing agency, so some content support exists (-5); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://brandonhall.com/ralis-ai-powered-platform-helps-organizations-achieve-transformational-change/,https://www.zoominfo.com/c/rali-solutions-llc/397585814 | https://www.businesswire.com/news/home/20241120148414/en/Rali-Partners-With-TrevelinoKeller-to-Drive-Growth-Through-Refreshed-Website-and-Integrated-Marketing | https://pitchbook.com/profiles/company/416505-07,"49 employees - right at the top of the band, so confirm before outreach. Buyer structure is split: Larry Mohl founded the company in 2016 and Rich Cannon is CEO. Cannon is recorded as primary on buying authority, but Mohl is by far the stronger content subject - he was Chief Learning Officer at both American Express and Children's Healthcare of Atlanta, which is close to ideal authority for a company selling behavioural change to enterprises. Confirm Mohl's current involvement. Note also that Rali engaged Trevelino/Keller for integrated marketing, so external content support exists - a partial negative signal, though agency marketing is not the same as founder ghostwriting."
22,B,82,Valer,valer.health,https://valer.health,https://www.linkedin.com/company/valer-health,Steve S. Kim,Steve,Kim,CEO & Co-Founder,unverified,"Huntington Beach, CA","Huntington Beach, CA, United States",US-based (High confidence),24 (Apr 2026),11-50,1M-5M (vendor estimate),Bootstrapped - no funding rounds raised,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Prior authorization and referral management platform automating submissions, status checking, verification, reporting and EHR synchronisation across settings, specialties and payers.",Probable: Bootstrapped and operating since 2012 with health-system customers on recurring contracts; sustained 13-year operation without outside capital indicates real revenue,"Prior authorization, payer-provider workflow, healthcare revenue cycle; holds a doctorate and is presented as Dr. Steve Kim",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Prior authorization is one of the most hated processes in US healthcare and is under active regulatory reform, so the audience is primed and angry. A clinician-founder who has spent thirteen years automating it, without VC money, can speak to both the policy argument and the operational reality - and the bootstrapped-for-13-years story is itself rare in healthtech.",Company rebrand to Valer,Prior auth is being reformed by regulators right now and Steve has spent thirteen bootstrapped years automating it. A clinician-founder who took no VC money and stayed on one problem that long has standing in that debate no funded newcomer can match - and the rebrand to Valer is the natural moment to claim it.,"TAM: Confirmed; Healthcare software / compliance technology (prior authorization) sold to Health systems, hospitals and specialty practices across all payers and settings. Size: 11-50 (confidence High). HQ: Huntington Beach, CA, United States (High). Ability to pay: Probable. Buyer: CEO & Co-Founder, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://valer.health/leadership/dr-steve-kim/,https://www.businesswire.com/news/home/20240116934528/en/Prior-Authorization-Leader-Voluware-Unveils-New-Company-Brand-Valer | https://tracxn.com/d/companies/valer/__q7_65gBBtIDVM9zIDiywH6pcX2eLG8guGMIt7OS5f5s | https://valer.health/about-us/,"24 employees, both founders still in post, operating since 2012 entirely bootstrapped, and a category-repositioning rebrand from Voluware to Valer in January 2024. Prior authorization is under active regulatory reform in the US, which makes the timing strong. Bootstrapped status here is a positive buying signal: no investor communications machine, and discretionary spend funded by revenue."
23,B,82,Voltaiq,voltaiq.com,https://voltaiq.com,https://www.linkedin.com/company/voltaiq,Tal Sholklapper,Tal,Sholklapper,CEO & Co-Founder,unverified,"Berkeley, CA / New York, NY","Berkeley, CA, United States",US-based (High confidence),32,11-50,5M-10M (vendor estimate),$12M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Enterprise battery intelligence platform: battery-specific data model, analytics and AI agents for developing, producing and optimising batteries and battery-powered products.","Confirmed: $12M raised, Fortune 500 and OEM customers, enterprise demo-led platform, est. revenue 5M-10M",Battery materials science; PhD Materials Science UC Berkeley; ex-ARPA-E lead engineer at CUNY Energy Institute; previously co-founded Point Source Power,Unknown - LinkedIn not inspectable from this environment,Unknown - requires LinkedIn verification,"Voltaiq coined 'Battery Intelligence' in 2012 and has just repositioned around AI agents for battery engineering. That category-creation-to-AI-pivot arc, plus a decade of Fortune 500 battery programme war stories and an unusually credentialled technical founder story, is strong founder-led raw material that is not visible as founder content.",Company AI repositioning,"Voltaiq coined the term 'Battery Intelligence' in 2012 and has now rebuilt the platform around AI agents for battery engineers - a category-creator making a second category bet. That is a point of view only Tal can credibly hold, and it is currently living in product copy rather than in his own feed.","TAM: Confirmed; Data infrastructure / analytics (battery intelligence) sold to Enterprise and mid-market battery, EV, consumer electronics and energy storage manufacturers. Size: 11-50 (confidence Medium). HQ: Berkeley, CA, United States (High). Ability to pay: Confirmed. Buyer: CEO & Co-Founder, Co-founder, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.voltaiq.com/about,https://sjfventures.com/sjf-invests-in-6-6-million-series-a-for-voltaiq/ | https://tracxn.com/d/companies/voltaiq/__og8wGgAjLZiqi1k4vMdYJxtIPN27TO00BzFj4Tf3XqQ | https://www.voltaiq.com/,"Primary buyer: founder-CEO with purchasing authority and public spokesperson role. || Founded 2012 in New York City; press release datelined Berkeley CA and Brooklyn NY, so HQ is dual-sited - Berkeley recorded as primary. Founder LinkedIn activity could not be inspected (LinkedIn is not reachable from this environment), so founder activity fields are unverified and scored conservatively."
24,B,81,Gray Matter Analytics,graymatteranalytics.com,https://graymatteranalytics.com,https://www.linkedin.com/company/graymatteranalytics,Sheila Talton,Sheila,Talton,Founder & CEO,https://www.linkedin.com/in/sheila-talton-8b295/,"Chicago, IL","Chicago, IL, United States",US-based (High confidence),not established; dataset 11-50,11-50 (unverified),1M-5M (vendor estimate),unverified,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. CoreTechs platform delivering Analytics as a Service for value-based care - predictive and prescriptive analytics to monitor performance, manage value-based contracts and reduce cost.","Probable: Operating since 2013 with payer and provider clients on recurring analytics contracts, and a newly announced collaboration with EY - a strong third-party credibility signal","Healthcare analytics, value-based care contracts, payer-provider performance; founded and has led the company since 2013",Moderate - has given a Female Founders interview; LinkedIn cadence not inspectable,Moderate - an interview exists and is hosted on the company site rather than built on personally,"Value-based care is a decade-old promise that most health systems still cannot make work financially, and the people with contract-performance data rarely speak publicly. A founder who has spent thirteen years on exactly that, and has just been validated by an EY collaboration, can say what actually separates value-based contracts that pay from ones that do not. Her Female Founders interview also indicates real appetite for the personal narrative thread.",EY collaboration announcement,"Value-based care is a decade-old promise most health systems still cannot make pay, and the people holding contract-performance data almost never speak. Sheila has thirteen years of it and a fresh EY collaboration as the hook - and her one existing interview sits on the company's own press page.","TAM: Confirmed; Healthcare software / analytics (value-based care) sold to Healthcare payers and providers managing value-based contracts. Size: 11-50 (unverified) (confidence Low). HQ: Chicago, IL, United States (High). Ability to pay: Probable. Buyer: Founder & CEO, Founder-CEO, operational.","penalties applied: employee count unverified (-10); employee count not independently verified; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL captured,2026-09-14,https://www.linkedin.com/in/sheila-talton-8b295/,https://www.prnewswire.com/news-releases/gray-matter-analytics-and-ey-announce-collaboration-to-advance-value-based-care-302584406.html | https://www.graymatteranalytics.com/aboutus | https://www.graymatteranalytics.com/press_news/female-founders-sheila-talton-of-gray-matter-analytics-on-the-five-things-you-need-to-thrive-and-succeed-as-a-woman-founder/,"Founded 2013 in Chicago by Sheila Talton, who remains CEO, with a directly evidenced founder LinkedIn URL. Headcount could not be established. The timing signal is strong: a newly announced EY collaboration is exactly the kind of credibility milestone that justifies a founder visibility push. Talton has already given a Female Founders interview, which the company hosts on its own site - the material exists, it is just not hers."
25,B,81,Kickfin,kickfin.com,https://kickfin.com,https://www.linkedin.com/company/kickfin,Brian Hassan,Brian,Hassan,Co-Founder & Co-CEO,unverified,"Austin, TX","Austin, TX, United States",US-based (High confidence),dataset 11-50; not contradicted by public sources,11-50,1M-5M (vendor estimate),~$11M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Instant tip payout platform: auto-calculates tip pools from POS data and sends payouts straight to employees' bank accounts, removing cash from tip distribution.","Confirmed: $11M raised; $2B+ in tips processed for 250,000+ hospitality workers; thousands of operators as paying customers","Hospitality payments, digital tipping, tip-pooling compliance, repeat entrepreneurship",Unknown on LinkedIn; demonstrably active on podcasts,Moderate - appears on other people's podcasts but that material is not visibly repurposed into his own founder content,"Kickfin has paid out over $2B in tips to 250,000+ hospitality workers. That dataset supports a genuinely authoritative point of view on tipping, wage compliance and restaurant labour economics - a live, contested public debate where an operator-facing founder has standing that commentators do not.",Podcast appearances and FSTEC tip-management forum,"Brian is already doing the hard part - he shows up on Restaurant Strategy and Cali BBQ to talk about the future of tipping - but none of it is being repurposed into his own feed. A founder sitting on $2B of tip payout data has the only defensible position in the tipping debate, and it currently lives in other people's podcast archives.","TAM: Confirmed; Fintech software / vertical SaaS (hospitality payments) sold to Restaurant, bar and hospitality operators - multi-unit and enterprise groups. Size: 11-50 (confidence Medium). HQ: Austin, TX, United States (High). Ability to pay: Confirmed. Buyer: Co-Founder & Co-CEO, Co-founder, operational.","penalties applied: probable internal content support (-5 partial); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.pymnts.com/restaurant-innovation/2023/kickfin-ceo-says-digital-tipping-and-instant-payouts-help-restaurants-fight-economic-headwinds/,https://content.calibbq.media/justin-roberts-and-brian-hassan-on-kickfins-mission-to-modernize-hospitality-tip-payments/ | https://restaurant-strategy-1.castos.com/episodes/the-future-of-tipping-with-kickfin-co-founder-brian-hassan | https://kickfin.com/success-stories/ | https://www.g2.com/products/kickfin/reviews,"Founded 2017 in Austin by best friends and repeat entrepreneurs Brian Hassan and Justin Roberts, who run the company as Co-CEOs. Both already appear on hospitality podcasts, which is a strong signal of willingness to do founder-led content and of existing raw material that is not being repurposed."
26,B,81,ReadyWorks,readyworks.com,https://readyworks.com,https://www.linkedin.com/company/readyworks-software,Andrew Sweeney,Andrew,Sweeney,Founder & CEO,unverified,"White Plains, NY","White Plains, NY, United States",US-based (High confidence),23,11-50,$2.7M (GetLatka),$8M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Agentic ITOps platform for hybrid IT: unifies infrastructure observability, automates VMware migration and endpoint/server/storage lifecycle tasks, and orchestrates governed change.",Confirmed: $8M raised and ~$2.7M revenue on a 23-person team; Gartner-recognised enterprise ITOps platform with large-account contracts,"IT transformation, infrastructure migration, orchestration and automation, hybrid IT operations",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Every large IT organisation is being forced through VMware migration decisions on a deadline, and ReadyWorks automates that work. A founder with migration data across enterprises can publish the practical playbook that IT leaders are actively searching for right now - the rare case where the content need and the buying trigger are the same event.",Agentic AI repositioning and VMware migration demand (2026),"VMware migration is a forced, budgeted, deadline-driven project at nearly every large IT shop right now, and ReadyWorks automates it. Andrew has migration data across enterprises - the practical playbook IT leaders are searching for today, which currently exists only as company blog posts rather than his own argument.","TAM: Confirmed; Workflow automation / IT operations (digital platform conductor) sold to Enterprise IT teams and IT service providers running hybrid infrastructure. Size: 11-50 (confidence High). HQ: White Plains, NY, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://getlatka.com/companies/readyworks,https://www.zoominfo.com/c/readyworks/476776790 | https://www.gartner.com/reviews/market/service-orchestration-and-automation-platforms/vendor/readyworks/product/readyworks | https://www.readyworks.com/,"23 employees, founder-CEO Andrew Sweeney still leading, Gartner recognition as a digital platform conductor. Timing is unusually favourable: enterprise VMware migration is a forced, budgeted, deadline-driven project across the market right now and ReadyWorks automates exactly that."
27,B,81,Zoneomics,zoneomics.com,https://zoneomics.com,https://www.linkedin.com/company/zoneomics,Matthew Player,Matthew,Player,CEO & Co-Founder,unverified,United States,"not established precisely, United States",US-based (Medium confidence),25 (Jun 2026),11-50,1M-5M (vendor estimate),$3M over 1 round,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Zoning and land-use intelligence platform covering 20,000 US municipalities, delivered as a map web platform, zoning reports, a zoning data API and bulk data; recently launched Bassett.ai as an AI operating system for zoning.","Probable: 25 employees with blue-chip clients (Cushman & Wakefield, Stanford University, Crexi, Sidewalk Labs) and API/bulk data contracts at enterprise scale; 1M bulk API calls delivered in 2025","Zoning and land-use planning, real estate data, proptech; serial proptech entrepreneur with 13 years in real estate",Moderate - appears on the PropTech VC Podcast; LinkedIn cadence not inspectable,Moderate - podcast appearances exist but are not repurposed into a personal position,"Zoning is at the centre of the US housing supply debate and Zoneomics holds structured data on 20,000 municipalities - the only dataset that can turn that argument from ideology into evidence. A founder who can show what zoning actually permits, at national scale, has a genuinely scarce and highly topical position, and right now it surfaces only when a podcast host invites him on.",Bassett.ai launch and Crexi partnership,"Zoning sits at the centre of the US housing debate and almost all of that argument is ideological, because nobody has the data. Matthew has structured zoning for 20,000 municipalities. He can turn that debate into evidence - and today it only comes out when a podcast host asks.","TAM: Confirmed; Data infrastructure / PropTech (zoning intelligence) sold to Commercial real estate investors, developers, brokerages and proptech platforms. Size: 11-50 (confidence High). HQ: not established precisely, United States (Medium). Ability to pay: Probable. Buyer: CEO & Co-Founder, Founder-CEO, operational.","penalties applied: exact HQ city not established (-5); founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.zoneomics.com/about,https://www.zoneomics.com/blog/2025-recap-zoneomics-advancing-zoning-intelligence | https://proptechvc.podbean.com/e/how-technology-helps-to-capture-zoning-and-land-use-information-in-real-estate/ | https://tracxn.com/d/companies/zoneomics/__19L6IAZeuJlPEoDhMkKH1QsfQbpmGIaO8UMaL6e2Vms,"HQ recorded as United States at Medium confidence: the precise city could not be pinned down from search, but the product covers 20,000 US municipalities exclusively and the client base is US institutional (Cushman & Wakefield, Stanford, Crexi, Sidewalk Labs), which is strong circumstantial evidence of US operation. 25 employees confirmed. Founder-CEO Matthew Player already appears on the PropTech VC Podcast, so existing raw material is available to repurpose."
28,B,80,FundMiner,fundminer.com,https://fundminer.com,https://www.linkedin.com/company/fundminer,Chelsea Lamego,Chelsea,Lamego,Co-Founder & CEO,unverified,"El Paso, TX","El Paso, TX, United States",US-based (High confidence),29,11-50,1M-5M (vendor estimate),$4.22M from 7 investors,active,Confirmed B2B SaaS,High confidence: Confirmed B2B SaaS. Platform automating management and stewardship of restricted philanthropic funds for large fundraising organisations.,Probable: $4.22M raised across 7 investors with 29 employees; universities and community foundations are slow but high-value recurring customers,"Philanthropic fund management, higher education advancement, restricted-fund stewardship",Moderate - a founding-story post exists on the company hub; LinkedIn cadence not inspectable,Moderate - the founding story is published under the company hub rather than in her own voice,"Restricted fund stewardship is a subject university advancement teams worry about constantly - donors asking whether their gift was used as promised - and nobody writes about it credibly. A female founder-CEO building for that in El Paso, rather than a coastal hub, has two distinct threads and an audience that is small, identifiable and reachable.",Seed round,"University advancement teams live in fear of a donor asking whether their gift was actually used as promised, and nobody writes credibly about restricted-fund stewardship. Chelsea already wrote the founding story for the company hub - moving that voice to her own feed would put her in front of a small, precisely identifiable buying audience.","TAM: Confirmed; Vertical SaaS / financial operations (philanthropic fund management) sold to Higher education institutions and community foundations managing restricted philanthropic funds. Size: 11-50 (confidence High). HQ: El Paso, TX, United States (High). Ability to pay: Probable. Buyer: Co-Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence High; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://hub.fundminer.com/fundminer-blog/why-we-started-fundminer,https://www.crunchbase.com/organization/fundminer | https://www.zoominfo.com/c/fundminer/566154566,"FundMiner sells to universities and foundations but is itself a for-profit private software company, so the nonprofit and educational exclusions do not apply - they cover the company's own status, not its customers. 29 employees, co-founder Chelsea Lamego is CEO, El Paso base. The company has already published a 'Why We Started FundMiner' piece, so the founding story is written and available to build on."
29,B,80,Peachjar,peachjar.com,https://peachjar.com,https://www.linkedin.com/company/peachjar,Mike Durham,Mike,Durham,Founder & CEO,unverified,"San Diego, CA","San Diego, CA, United States",US-based (High confidence),31 (Apr 2026),11-50,10M-25M (vendor estimate),$6.9M,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Digital flyer distribution platform connecting schools with parents, replacing paper backpack flyers with targeted digital delivery.",Confirmed: $6.9M raised with school-district contracts and a two-sided model charging community organisations for flyer distribution; 31 staff on an established platform,"K-12 school communications, parent engagement, two-sided marketplace economics, EdTech district sales",Unknown - LinkedIn not inspectable,Unknown - requires LinkedIn verification,"Selling into K-12 districts is notoriously slow and political, and almost nobody writes honestly about how that buying process works. Durham has done it at national scale and also runs a two-sided model where districts pay nothing - two specific, hard-won operator lessons with a real audience among EdTech founders and district administrators.",Named a 'Cool Company' by San Diego Venture Group,Mike has sold into K-12 districts at national scale with a model where the district pays nothing - the two hardest problems in EdTech solved in one business. District buying and two-sided pricing are things founders actively search for and nobody credible writes about.,"TAM: Confirmed; EdTech / vertical SaaS (school-to-home communications) sold to K-12 school districts and the community organisations that want to reach their families. Size: 11-50 (confidence High). HQ: San Diego, CA, United States (High). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.zoominfo.com/pic/peachjar-inc/357131148,https://tracxn.com/d/companies/peachjar/__Bzf1bjY0l1NwX4ABR2Yqxc9Umu18t94gcLdyIeS8Bdc | https://ms.peachjar.com/about-us,"Peachjar sells to school districts but is itself a for-profit private software company, so the educational-institution exclusion does not apply - the exclusion covers the company being a school, not selling to them. 31 employees, founder-CEO Mike Durham still leading, San Diego HQ confirmed."
30,B,80,Worthix,worthix.com,https://worthix.com,https://www.linkedin.com/company/worthix,Guilherme Cerqueira,Guilherme,Cerqueira,Founder & CEO,https://www.linkedin.com/in/guicerqueira (slug evidenced via post URL; profile not inspectable),"Atlanta, GA","Atlanta, GA, United States",US-based (Medium confidence),33,11-50,1M-5M (vendor estimate),$21.7M over 3 rounds from 3 investors,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. Self-adaptive AI survey that measures the reasons behind purchase, loyalty and churn decisions, generating questions in real time from what customers actually want to discuss instead of a fixed questionnaire.",Confirmed: $21.7M raised through Series B; enterprise CX and market-research buyers on recurring platform contracts,"Marketing research (19+ years), customer experience measurement, AI survey design; serial entrepreneur; 500 Startups, ATDC, ESOMAR and Endeavor member",Moderate - a LinkedIn post is evidenced and he has given long-form interviews; cadence not inspectable,"Moderate to ideal - clear expertise and existing interview material, no sustained personal publishing","NPS and traditional survey methodology are widely disliked and rarely challenged by anyone with the credentials to do it. Cerqueira has 19 years in marketing research and built a company on the premise that fixed surveys are the wrong instrument - a genuinely contrarian, defensible position that is currently expressed only as product positioning.",AI customer-insight capability launch,Everyone complains about NPS and fixed surveys; almost nobody with 19 years in research methodology says plainly why they are the wrong instrument. Guilherme built a company on that argument and it currently lives in product copy and a single Authority Magazine interview.,"TAM: Confirmed; Analytics / customer-success software (voice of customer) sold to Enterprise customer-experience and insights teams. Size: 11-50 (confidence Medium). HQ: Atlanta, GA, United States (Medium). Ability to pay: Confirmed. Buyer: Founder & CEO, Founder-CEO, operational.","penalties applied: dual-location HQ unresolved (-5); LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL captured,2026-09-14,https://www.crunchbase.com/person/guilherme-cerqueira,https://medium.com/authority-magazine/the-future-is-now-guilherme-cerqueira-of-worthix-on-how-their-technological-innovation-wil-l-shake-b131cbbcf38b | https://tracxn.com/d/companies/worthix/__CChcKN2HpAlkwC3S1Rgue5Stwq_roZCh_AVBkdwERig | https://hypepotamus.com/companies/worthix/,"Silicon Valley born, Atlanta based - sources describe both San Francisco and Atlanta, so the primary site is recorded as Atlanta at Medium confidence. Founded 2015 by brothers Guilherme and Gustavo Cerqueira; 33 employees; Series B. Guilherme's LinkedIn slug is evidenced via a post URL (guicerqueira), one of the few founder handles recovered so far, and he has given a long-form Authority Magazine interview."
31,B,79,SchedulePop,schedulepop.com,https://schedulepop.com,https://www.linkedin.com/company/schedulepop,Ben Wingrove,Ben,Wingrove,Founder,unverified,"Raleigh, NC","Raleigh, NC, United States",US-based (High confidence),~14 (2026),11-50,"$1.5M ARR (2025, GetLatka); disclosed valuation $4.6M",Bootstrapped - self-funded with no outside investment,active,Confirmed B2B SaaS,"High confidence: Confirmed B2B SaaS. End-to-end staff scheduling and communication platform serving shift-based industries, with accessibility features including support for blind staff.","Confirmed: $1.5M ARR clears the $1M threshold, bootstrapped since 2014 with consistent revenue growth, so spend is discretionary and revenue-funded","Shift scheduling, hospitality operations, accessible software design, bootstrapped SaaS",Unknown - LinkedIn not inspectable,Likely ideal - a 14-person bootstrapped company has no content function and the founder has a strong untold story,"Two distinct threads, both rare. First, building accessible scheduling software that blind staff can actually use - a specific, principled engineering choice almost nobody in shift software makes or talks about. Second, reaching $1.5M ARR self-funded from a venue-owner's own operating pain, which is the founder story the bootstrapped audience reads constantly and rarely gets first-hand.",unverified,"Ben built SchedulePop because he and his wife were remotely running a music venue and restaurant and the scheduling was breaking them. He then made it work for blind staff - a deliberate engineering choice nobody else in shift software makes. Two strong, specific stories and neither is anywhere public.","TAM: Confirmed; Workflow automation / HR technology (staff scheduling) sold to Restaurants, venues, nursing homes, hospitals, festivals, country clubs and emergency departments. Size: 11-50 (confidence High). HQ: Raleigh, NC, United States (High). Ability to pay: Confirmed. Buyer: Founder, Founder, operational.","founder LinkedIn URL not captured; LinkedIn posting activity could not be inspected from the research environment, so content-gap fields are inference not observation",research confidence Medium; LinkedIn activity unverified; founder profile URL unverified,2026-09-14,https://www.schedulepop.com/company,https://getlatka.com/companies/schedulepop.com | https://grepbeat.com/2019/11/07/schedulepop-makes-scheduling-staff-easier-including-for-the-blind/ | https://tracxn.com/d/companies/schedulepop/__RSl3Zlb9twrS3nJ03ObE9mEeovvUoJT5OiW0auaQNb4,"14 employees, bootstrapped since 2014, $1.5M ARR. On a team this size there is almost certainly no internal content function, which is the ideal condition for this service. Founder story is unusually good: Ben Wingrove and his wife owned and remotely operated a music venue and restaurant in Richmond VA and built the product out of that operating pain, and the platform has a documented accessibility angle for blind staff."
